,movie_title,release_date,genre,mpaa_rating,total_gross,inflation_adjusted_gross
283,Bubble Boy,2001-08-24,Comedy,PG-13,5002310.0,7450434.0
286,"Monsters, Inc.",2001-11-02,Adventure,G,289423425.0,416073179.0
287,Out Cold,2001-11-21,Comedy,PG-13,13906394.0,20700691.0
288,The Royal Tenenbaums,2001-12-14,Black Comedy,R,52353636.0,76758193.0
289,Beauty and the Beast (IMAX),2002-01-01,Musical,G,25487028.0,36980311.0
290,Snow Dogs,2002-01-18,Comedy,PG,81150692.0,117745317.0
291,The Count of Monte Cristo,2002-01-25,Drama,PG-13,54228104.0,78682079.0
293,Reign of Fire,2002-02-19,Action,PG-13,43061982.0,62480631.0
294,Sorority Boys,2002-03-22,Comedy,R,10198766.0,14797862.0
295,The Rookie,2002-03-29,Drama,G,75600072.0,109691666.0
296,Big Trouble,2002-04-05,Comedy,PG-13,7262288.0,10537188.0
297,ESPN's Ultimate X - The Movie,2002-05-10,Documentary,PG,4197175.0,6089874.0
298,Bad Company,2002-06-07,Action,PG-13,30157016.0,43756218.0
300,The Country Bears,2002-07-26,Adventure,G,16988996.0,24650121.0
301,Signs,2002-08-02,Thriller/Suspense,PG-13,227965690.0,330754439.0
302,Sen to Chihiro no Kamikakushi,2002-09-20,Adventure,PG,10049886.0,14338992.0
303,Sweet Home Alabama,2002-09-27,Comedy,PG-13,127214072.0,184521151.0
304,Moonlight Mile,2002-09-27,Drama,PG-13,6830957.0,9909094.0
305,Tuck Everlasting,2002-10-11,Drama,PG,19161999.0,27789959.0
306,The Santa Clause 2,2002-11-01,Comedy,G,139225854.0,201959095.0
307,Treasure Planet,2002-11-27,Adventure,PG,38120554.0,55189145.0
308,The Hot Chick,2002-12-13,Comedy,PG-13,35081550.0,50624654.0
310,The Recruit,2003-01-31,Thriller/Suspense,PG-13,52784696.0,73793522.0
311,Shanghai Knights,2003-02-07,Adventure,PG-13,60470220.0,84537962.0
312,The Jungle Book 2,2003-02-14,Adventure,G,47901582.0,66966883.0
313,Bringing Down the House,2003-03-07,Comedy,PG-13,132675402.0,185481530.0
314,Piglet's Big Movie,2003-03-21,Comedy,G,23103423.0,32298812.0
317,The Lizzie McGuire Movie,2003-05-02,Comedy,PG,42734455.0,59743191.0
318,Finding Nemo,2003-05-30,Adventure,G,380529370.0,518148559.0
319,Pirates of the Caribbean: The Curse o…,2003-07-09,Adventure,PG-13,305411224.0,426967926.0
321,Open Range,2003-08-15,Western,R,58331254.0,81547672.0
322,Cold Creek Manor,2003-09-19,Thriller/Suspense,R,21384035.0,29895090.0
323,Under the Tuscan Sun,2003-09-26,Comedy,PG-13,43601508.0,60944053.0
324,Veronica Guerin,2003-10-17,Drama,R,1569918.0,2194759.0
325,Brother Bear,2003-10-24,Adventure,G,85336277.0,119218333.0
326,The Haunted Mansion,2003-11-26,Comedy,PG,75817994.0,105775678.0
327,Calendar Girls,2003-12-19,Comedy,PG-13,31011616.0,42379650.0
328,Young Black Stallion,2003-12-25,Adventure,G,6751389.0,9254344.0
329,Teacher's Pet: The Movie,2004-01-16,Comedy,PG,6491969.0,8812764.0
330,Miracle,2004-02-06,Drama,PG,64378093.0,87392478.0
331,Confessions of a Teenage Drama Queen,2004-02-20,Comedy,PG,29331068.0,39816568.0
332,Hidalgo,2004-03-05,Western,PG-13,67286731.0,91340921.0
333,The Ladykillers,2004-03-26,Comedy,R,39692139.0,53881593.0
334,Home on the Range,2004-04-02,Comedy,PG,50026353.0,67910166.0
335,The Alamo,2004-04-09,Western,PG-13,22406362.0,30416359.0
337,Around the World in 80 Days,2004-06-16,Adventure,PG,24004159.0,32585356.0
338,America's Heart and Soul,2004-07-02,Documentary,Not Rated,314000.0,426246.0
339,King Arthur,2004-07-07,Adventure,PG-13,51877963.0,70423706.0
340,The Village,2004-07-30,Thriller/Suspense,PG-13,114197520.0,155021748.0
341,The Princess Diaries 2: Royal Engagement,2004-08-11,Romantic Comedy,G,95149435.0,129164207.0
342,Mr. 3000,2004-09-17,Comedy,PG-13,21800302.0,29593641.0
343,The Last Shot,2004-09-24,Comedy,R,463730.0,629502.0
345,The Incredibles,2004-11-05,Adventure,PG,261441092.0,354488708.0
346,National Treasure,2004-11-19,Adventure,PG,173005002.0,234069353.0
347,The Life Aquatic with Steve Zissou,2004-12-10,Comedy,R,24006726.0,32198655.0
348,Aliens of the Deep,2005-01-28,Documentary,G,8968684.0,11740942.0
349,Pooh's Heffalump Movie,2005-02-11,Adventure,G,18098433.0,23801835.0
350,The Pacifier,2005-03-04,Comedy,PG,113006880.0,148619029.0
351,Ice Princess,2005-03-18,Comedy,G,24381334.0,32064685.0
354,Hauru no ugoku shiro,2005-06-10,Adventure,PG,4710455.0,6194870.0
355,Herbie: Fully Loaded,2005-06-22,Comedy,G,66010682.0,86812798.0
356,Dark Water,2005-07-08,Thriller/Suspense,PG-13,25473093.0,33500491.0
357,Sky High,2005-07-29,Adventure,PG,63939454.0,84088854.0
358,Valiant,2005-08-19,Adventure,G,19478106.0,25616292.0
359,Flightplan,2005-09-23,Thriller/Suspense,PG-13,89706988.0,117960425.0
360,The Greatest Game Ever Played,2005-09-30,Drama,PG,15331289.0,20162672.0
361,Shopgirl,2005-10-21,Drama,R,10284523.0,13519621.0
362,Chicken Little,2005-11-04,Adventure,G,135386665.0,177954661.0
363,"The Chronicles of Narnia: The Lion, t…",2005-12-09,Adventure,PG,291710957.0,381557539.0
364,Casanova,2005-12-25,Drama,R,11304403.0,14574087.0
365,Glory Road,2006-01-13,Drama,PG,42647449.0,54888236.0
366,Annapolis,2006-01-27,Drama,PG-13,17127992.0,22044113.0
367,Roving Mars,2006-01-27,Documentary,G,10407978.0,12948025.0
368,Eight Below,2006-02-17,Adventure,PG,81612565.0,105037235.0
369,The Shaggy Dog,2006-03-10,Comedy,PG,61123569.0,78667428.0
370,Stay Alive,2006-03-24,Horror,PG-13,23086480.0,29712825.0
371,The Wild,2006-04-14,Adventure,G,37384046.0,48114115.0
373,Goal! The Dream Begins,2006-05-12,Drama,PG,4283255.0,5512647.0
374,Cars,2006-06-09,Comedy,G,244082982.0,314140384.0
375,Pirates of the Caribbean: Dead Man’…,2006-07-07,Adventure,PG-13,423315812.0,544817142.0
376,Step Up,2006-08-11,Drama,PG-13,65328121.0,84078780.0
377,Invincible,2006-08-25,Drama,PG,57806952.0,74398864.0
378,The Guardian,2006-09-29,Action,PG-13,55011732.0,70801353.0
379,The Prestige,2006-10-20,Thriller/Suspense,PG-13,53089891.0,68289913.0
380,Tim Burton's The Nightmare Before Chr…,2006-10-20,Musical,PG,24732041.0,30737517.0
381,The Santa Clause 3: The Escape Clause,2006-11-03,Comedy,G,84500122.0,108694869.0
382,Déjà Vu,2006-11-22,Thriller/Suspense,PG-13,64038616.0,82267038.0
383,Apocalypto,2006-12-08,Adventure,R,50866635.0,64959548.0
384,Primeval,2007-01-12,Adventure,R,10597734.0,12985302.0
385,Bridge to Terabithia,2007-02-16,Drama,PG,82234139.0,100760721.0
386,Wild Hogs,2007-03-02,Comedy,PG-13,168213584.0,206110533.0
387,Meet the Robinsons,2007-03-30,Adventure,G,97822171.0,119860589.0
388,The Lookout,2007-03-30,Drama,R,4600585.0,5637048.0
389,The Hoax,2007-04-06,Drama,R,7164995.0,8779196.0
390,The Invisible,2007-04-27,Thriller/Suspense,PG-13,20568319.0,25202168.0
391,Pirates of the Caribbean: At World’…,2007-05-24,Adventure,PG-13,309420425.0,379129960.0
392,Ratatouille,2007-06-29,Comedy,G,206445654.0,252955933.0
393,Underdog,2007-08-03,Adventure,PG,43760605.0,53619462.0
394,The Game Plan,2007-09-22,Comedy,PG,90648202.0,111010758.0
395,Dan in Real Life,2007-10-20,Romantic Comedy,PG-13,47642963.0,58350234.0
396,Enchanted,2007-11-21,Romantic Comedy,PG,127706877.0,156074310.0
397,National Treasure 2: Book of Secrets,2007-12-21,Adventure,PG,219961501.0,267003525.0
398,Hannah Montana/Miley Cyrus: Best of B…,2008-02-01,Concert/Performance,G,65281781.0,76646993.0
399,Step Up 2 the Streets,2008-02-14,Drama,PG-13,58017783.0,68118371.0
400,College Road Trip,2008-03-07,Comedy,G,45610425.0,53550960.0
401,The Chronicles of Narnia: Prince Caspian,2008-05-16,Adventure,PG,141621490.0,166277038.0
402,WALL-E,2008-06-27,Adventure,G,223808164.0,262771918.0
403,Swing Vote,2008-08-01,Comedy,PG-13,16289867.0,19125841.0
404,Goal! 2: Living the Dream...,2008-08-29,Drama,PG-13,225067.0,264247.0
405,Miracle at St. Anna,2008-09-26,Drama,R,7916887.0,9295171.0
406,Beverly Hills Chihuahua,2008-10-03,Comedy,PG,94514402.0,110932022.0
407,Morning Light,2008-10-17,Documentary,PG,275093.0,322979.0
408,High School Musical 3: Senior Year,2008-10-24,Musical,G,90559416.0,106308538.0
409,Bolt,2008-11-21,Comedy,PG,114053759.0,133702498.0
410,Bedtime Stories,2008-12-25,Comedy,PG,110101975.0,128039679.0
411,Confessions of a Shopaholic,2009-02-13,Romantic Comedy,PG,44277350.0,49767744.0
412,Jonas Brothers: The 3D Concert Experi…,2009-02-27,Concert/Performance,G,38174685.0,38174685.0
413,Race to Witch Mountain,2009-03-13,Adventure,PG,67172594.0,75501997.0
415,Earth,2009-04-22,Documentary,G,32011576.0,35981010.0
416,Up,2009-05-29,Adventure,PG,293004164.0,329336681.0
417,The Proposal,2009-06-19,Romantic Comedy,PG-13,163958031.0,184288829.0
418,G-Force,2009-07-24,Adventure,PG,119436770.0,134246932.0
419,Gake no ue no Ponyo,2009-08-14,Adventure,G,15090399.0,16961607.0
420,X Games 3D: The Movie,2009-08-21,Documentary,PG,1391434.0,1563976.0
421,Walt and El Grupo,2009-09-10,Documentary,PG,20521.0,23064.0
422,Surrogates,2009-09-25,Action,PG-13,38577772.0,43361416.0
423,Toy Story 3D Double Feature,2009-10-02,Adventure,G,30702446.0,34509545.0
425,The Princess and the Frog,2009-11-25,Adventure,G,104400899.0,116316457.0
426,Old Dogs,2009-11-25,Comedy,PG,49492060.0,55503929.0
427,When in Rome,2010-01-29,Romantic Comedy,PG-13,32680633.0,34917330.0
428,Alice in Wonderland,2010-03-05,Adventure,PG,334191110.0,357063499.0
429,Waking Sleeping Beauty,2010-03-26,Documentary,PG,80741.0,86264.0
430,The Last Song,2010-03-31,Drama,PG,62950384.0,67258772.0
431,Oceans,2010-04-22,Documentary,G,19422319.0,20751600.0
432,Prince of Persia: Sands of Time,2010-05-28,Action,PG-13,90759676.0,96971361.0
433,Toy Story 3,2010-06-18,Adventure,G,415004880.0,443408255.0
434,The Sorcerer's Apprentice,2010-07-14,Adventure,PG,63150991.0,67473105.0
435,Step Up 3D,2010-08-06,Drama,PG-13,42400223.0,45302137.0
436,Gedo Senki (Tales from Earthsea),2010-08-13,Adventure,PG-13,48658.0,51988.0
437,You Again,2010-09-24,Comedy,PG,25702053.0,27461121.0
438,Secretariat,2010-10-08,Drama,PG,59699513.0,63781920.0
439,Tangled,2010-11-24,Adventure,PG,200821936.0,214388548.0
440,Tron: Legacy,2010-12-17,Adventure,PG,172062763.0,183619259.0
441,Gnomeo and Juliet,2011-02-11,Comedy,G,99967670.0,106270797.0
442,I am Number Four,2011-02-18,Adventure,PG-13,55100437.0,58574607.0
443,Mars Needs Moms,2011-03-11,Adventure,PG,21392758.0,22741603.0
445,Zokkomon,2011-04-22,Adventure,PG,2815.0,2984.0
446,Prom,2011-04-29,Comedy,PG,10130219.0,10768946.0
448,Cars 2,2011-06-24,Adventure,G,191450875.0,203522177.0
449,Winnie the Pooh,2011-07-15,Adventure,G,26692846.0,28375869.0
450,The Help,2011-08-10,Drama,PG-13,169705587.0,180404976.0
451,Fright Night,2011-08-19,Horror,R,18298649.0,19452402.0
452,Real Steel,2011-10-07,Action,PG-13,85463309.0,90848019.0
453,The Muppets,2011-11-23,Comedy,PG,88625922.0,94189503.0
454,War Horse,2011-12-25,Drama,PG-13,79883359.0,84762149.0
455,The Secret World of Arietty,2012-02-17,Adventure,G,19192510.0,20325733.0
456,John Carter,2012-03-09,Adventure,PG-13,73058679.0,77372445.0
457,Chimpanzee,2012-04-20,Documentary,G,28965459.0,30675725.0
458,The Avengers,2012-05-04,Action,PG-13,623279547.0,660081224.0
459,Brave,2012-06-22,Adventure,PG,237282182.0,251292441.0
460,People Like Us,2012-06-29,Drama,PG-13,12431792.0,13165822.0
461,The Odd Life of Timothy Green,2012-08-15,Drama,PG,51853450.0,54914942.0
462,Frankenweenie,2012-10-05,Comedy,PG,35287788.0,37363513.0
463,Wreck-It Ralph,2012-11-02,Adventure,PG,189412677.0,200354959.0
464,Lincoln,2012-11-09,Drama,PG-13,182207973.0,192122330.0
465,Oz the Great and Powerful,2013-03-08,Adventure,PG,234770996.0,243434130.0
466,Iron Man 3,2013-05-03,Action,PG-13,408992272.0,424084233.0
467,Monsters University,2013-06-21,Adventure,G,268488329.0,278395641.0
468,The Lone Ranger,2013-07-02,Western,PG-13,89302115.0,92597388.0
469,Disney Planes,2013-08-09,Comedy,PG,90282580.0,93614037.0
470,The Fifth Estate,2013-10-18,Drama,R,3254172.0,3374251.0
471,Thor: The Dark World,2013-11-08,Adventure,PG-13,206362140.0,213962184.0
472,Kaze Tachinu,2013-11-08,Drama,PG-13,5201879.0,5367415.0
473,Frozen,2013-11-22,Adventure,PG,400738009.0,414997174.0
475,Saving Mr. Banks,2013-12-13,Drama,PG-13,83299761.0,86249969.0
476,Need for Speed,2014-03-14,Action,PG-13,43568507.0,44955015.0
478,Captain America: The Winter Soldier,2014-04-04,Action,PG-13,259746958.0,268013076.0
479,Bears,2014-04-18,Documentary,G,17780194.0,18346024.0
480,Million Dollar Arm,2014-05-10,Drama,PG,36447959.0,37607865.0
481,Maleficent,2014-05-30,Adventure,PG,241407328.0,249089809.0
482,Planes: Fire and Rescue,2014-07-18,Adventure,PG,59157732.0,61040349.0
483,Guardians of the Galaxy,2014-08-01,Adventure,PG-13,333172112.0,343771168.0
484,The Hundred-Foot Journey,2014-08-08,Romantic Comedy,PG,54235441.0,55961409.0
486,Big Hero 6,2014-11-07,Adventure,PG,222527828.0,229249222.0
487,Into the Woods,2014-12-25,Musical,PG,128002372.0,130894237.0
488,Strange Magic,2015-01-23,Adventure,PG,12429583.0,12429583.0
489,"McFarland, USA",2015-02-20,Drama,PG,44480275.0,44480275.0
490,Cinderella,2015-03-13,Drama,PG,201151353.0,201151353.0
491,Monkey Kingdom,2015-04-17,Documentary,G,16432322.0,16432322.0
492,Avengers: Age of Ultron,2015-05-01,Action,PG-13,459005868.0,459005868.0
493,Tomorrowland,2015-05-22,Adventure,PG,93436322.0,93436322.0
495,Ant-Man,2015-07-17,Action,PG-13,180202163.0,180202163.0
496,Bridge of Spies,2015-10-16,Thriller/Suspense,PG-13,72313754.0,72313754.0
497,The Good Dinosaur,2015-11-25,Adventure,PG,123087120.0,123087120.0
498,Star Wars Ep. VII: The Force Awakens,2015-12-18,Adventure,PG-13,936662225.0,936662225.0
499,The Finest Hours,2016-01-29,Thriller/Suspense,PG,27569558.0,27569558.0
500,Zootopia,2016-03-04,Adventure,PG,341268248.0,341268248.0
501,The Jungle Book,2016-04-15,Adventure,PG,364001123.0,364001123.0
503,Captain America: Civil War,2016-05-06,Action,PG-13,408084349.0,408084349.0
504,Alice Through the Looking Glass,2016-05-27,Adventure,PG,77042381.0,77042381.0
505,Finding Dory,2016-06-17,Adventure,PG,486295561.0,486295561.0
506,The BFG,2016-07-01,Adventure,PG,55483770.0,55483770.0
507,Pete’s Dragon,2016-08-12,Adventure,PG,76233151.0,76233151.0
509,Queen of Katwe,2016-09-23,Drama,PG,8874389.0,8874389.0
510,Doctor Strange,2016-11-04,Adventure,PG-13,232532923.0,232532923.0
511,Moana,2016-11-23,Adventure,PG,246082029.0,246082029.0
512,Rogue One: A Star Wars Story,2016-12-16,Adventure,PG-13,529483936.0,529483936.0
444,,2011-04-22,Documentary,G,15428747.0,16401551.0
85,,1993-02-03,Comedy,PG-13,5583621.0,11369541.0
447,,2011-05-20,Adventure,PG-13,241063875.0,256263359.0
38,,1990-04-27,Comedy,PG,15000000.0,29964452.0
233,,1998-11-20,Action,R,111549836.0,198472008.0
485,"Alexander and the Terrible, Horrible,…",,Comedy,PG,66954149.0,69055550.0
113,White Fang 2: Myth of the White Wolf,,Adventure,PG,8752399.0,18083994.0
133,Houseguest,,Comedy,PG,26325256.0,51016522.0
256,Play it to the Bone,,Comedy,R,8427204.0,13180524.0
3,Song of the South,,Adventure,G,65000000.0,1078510579.0
7,Babes in Toyland,1961-12-14,,G,10218316.0,124841160.0
372,Stick It,2006-04-28,,PG-13,26910736.0,34634731.0
292,Peter Pan: Return to Neverland,2002-02-15,,G,48430258.0,70269715.0
274,The Emperor's New Groove,2000-12-15,,G,89296573.0,136789252.0
153,The Tie That Binds,1995-09-08,,R,5762795.0,11167895.0
315,Ghosts of the Abyss,2003-04-11,Documentary,,17093668.0,23803108.0
246,The 13th Warrior,1999-08-27,Action,,32698899.0,54262148.0
494,Inside Out,2015-06-19,Adventure,,356461711.0,356461711.0
353,The Hitchhiker's Guide to the Galaxy,2005-04-29,Comedy,,51019112.0,67096891.0
284,Max Keeble's Big Move,2001-10-05,Comedy,,17292381.0,25749730.0
320,Freaky Friday,2003-08-06,Comedy,PG,,154090360.0
180,The Hunchback of Notre Dame,1996-06-21,Adventure,G,,190988799.0
299,Lilo & Stitch,2002-06-21,Adventure,PG,,211506702.0
266,Fantasia 2000 (Theatrical Release),2000-06-16,Musical,G,,14238144.0
214,Kundun,1997-12-25,Drama,PG-13,,10236836.0
272,Unbreakable,2000-11-22,Thriller/Suspense,PG-13,94999143.0,
474,Delivery Man,2013-11-22,Comedy,PG-13,30659817.0,
336,Raising Helen,2004-05-28,Comedy,PG-13,37485528.0,
477,Muppets Most Wanted,2014-03-21,Comedy,PG,51178893.0,
261,High Fidelity,2000-03-31,Comedy,R,27277055.0,
508,The Light Between Oceans,2016-09-02,Drama,PG-13,12545979.0,12545979.0
352,A Lot Like Live,2005-04-22,Comedy,PG-13,21835784.0,28716947.0
285,Corky Romano,2001-10-12,Comedy,PG-13,23978402.0,35705805.0
424,Disney's A Christmas Carol,2009-11-06,Drmaa,PG,137855863.0,154927105.0
114,The Inkwell,1994-04-22,Comedy,R,8864699.0,18316030.0
140,Tall Tale,1995-03-24,Western,P,8247627.0,15983331.0
144,A Goofy Movie,1995-04-07,Comedy,G,"35336439,0",68479579.0
225,The Parent Trap,1998-07-29,Comedy,PG,"66308518,0",119185667.0
344,Ladder 49,2004-10-01,Action,PG-13,"74541707,0",101161045.0
157,The Scarlet Letter,1995-10-13,Drama,R,"10359006,0",20075033.0
309,25th Hour,2002-12-19,Drama,R,"13084595,0",18325463.0
430,The Last Song,2010-03-31,Drama,PG,62950384.0,67258772.0
489,"McFarland, USA",2015-02-20,Drama,PG,44480275.0,44480275.0
416,Up,2009-05-29,Adventure,PG,293004164.0,329336681.0
409,Bolt,2008-11-21,Comedy,PG,114053759.0,133702498.0
308,The Hot Chick,2002-12-13,Comedy,PG-13,35081550.0,50624654.0
